SlNo,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m,nearest_settlement_type,nearest_settlement_population,nearest_settlement_name,settlement_distance_m,event_date,rainfall_mm
25978,NL-09/2012-13,Nagaland,Kohima,Chakhabama slide (B),,25.68133333,94.20877778,,NIL,07 August 2012 at 05:30 Hrs.,824,15,19,10,35.0,primary,,,153.4580566991992,village,0,Chakhabama,1722.3983394941145,2012-08-07,21.21999949682504
25979,NL-10/2012-13,Nagaland,Kohima,Chakhabama Slide (C),,25.67275047302246,94.21136111,,NIL,08 August 2012 at 06:00 Hrs.,792,12,155,10,33.0,primary,,,109.62886035191369,village,0,Chakhabama,1520.8019454170192,2012-08-08,2.019999958574772
25980,NL-11/2012-13,Nagaland,Phek,Chakhabama slide (D),,25.66666667,94.19602778,,NIL,07 August 2012 at 05:30 Hrs.,1070,21,310,10,34.0,primary,,,256.1692879030424,village,0,Chakhabama,432.7128947052099,2012-08-07,19.734999504871663
26897,TR-3/09-10,Tripura,Dhalai,Datarampara slide,,23.899999618530273,91.75622222,,,3 June 2010,201,29,130,10,26.0,trunk,,NH8,3.0352018122356443,village,0,Mungiakami,5412.643589523645,2010-06-03,55.159998312592506
26898,TR-4/09-10,Tripura,Dhalai,Betaraipara slide,,23.89569444,91.76525115966795,,,June 2010,244,16,273,10,26.0,trunk,,NH8,6.81464425802983,village,0,Mungiakami,6145.27240784066,,
26899,TR-5/09-10,Tripura,Dhalai,Jeulchhara slide,,23.88888889,91.78888889,,,June 2010,146,19,336,50,26.0,trunk,,NH8,10.497879492159202,town,70000,Ambassa,7301.827263583717,,
26900,TR-6/09-10,Tripura,Dhalai,Kamalchherra,,23.91200065612793,91.83852778,,,April 2010,82,2,29,10,29.0,trunk,,NH8,7.706269155387043,town,70000,Ambassa,1669.7983100345623,,
22872,MIZ/AZL/2022/3,Mizoram,Aizawl,"Hunthar veng, Aizawl",,23.74111111,92.71083333,Colluvium,Debris slide,July 2022,823,24,283,30,30.0,residential,,,3.9264708865483113,city,291822,Aizawl,1648.19635639127,,
22900,MIZ/AZL/2022/32,Mizoram,Aizawl,Kawnpui to Khamrang road,,23.739999771118164,92.71416667,Colluvium,Debris slide,"2018, October 2019, August 2020",986,38,296,10,28.0,unclassified,,,3.3898791817218292,city,291822,Aizawl,1409.7985947003172,,
22905,MIZ/AZL/2022/37,Mizoram,Aizawl,Bawngkawn,,23.75861111,92.73261111,Colluvium,Debris slide,2009,1169,28,289,10,30.0,trunk,,NH6,110.04398233156174,village,0,Durtlang,2598.4970635431528,,
22873,MIZ/AZL/2022/4,Mizoram,Aizawl,"Hunthar veng, Aizawl",,23.74194444,92.71027778,Colluvium,Debris slide,July 2022,784,16,298,10,30.0,residential,,,59.0891541567693,city,291822,Aizawl,1756.017070924794,,
22915,MIZ/AZL/2022/47,Mizoram,Aizawl,Muthi,,23.77166667,92.760498046875,Colluvium,Debris slide,September 2022,1138,28,282,10,32.0,residential,,,6.213581019710153,village,0,Durtlang,3528.7597059111554,,
22916,MIZ/AZL/2022/48,Mizoram,Aizawl,Muthi Vengthar,,23.77161111,92.75913889,Colluvium,Debris slide,July 2022,1056,26,270,10,34.0,unclassified,,,7.028713127370529,village,0,Durtlang,3399.4875508858554,,
22874,MIZ/AZL/2022/5,Mizoram,Aizawl,"Beraw Tlang, Zemabawk, Aizawl",,23.73041667,92.75552778,Compacted Debris,Debris flow,April 2020,929,23,33,10,29.0,residential,,,50.88140341637678,city,291822,Aizawl,3836.776708945869,,
22920,MIZ/AZL/2022/52,Mizoram,Aizawl,"Kulikawn, Aizawl",,23.73241667,92.71480556,Compacted Debris,Subsidence,"""July 2004, 2005, 2006, 2008, April",999,22,244,50,31.0,residential,,,24.217563134124035,city,291822,Aizawl,609.1707284380637,,
22921,MIZ/AZL/2022/53,Mizoram,Aizawl,"Tuikual N, D Mual",,23.73053889,92.716019,Compacted Debris,Debris flow,22 June 2018,1040,30,272,50,31.0,residential,,,9.93795833602438,city,291822,Aizawl,367.41023048474824,2018-06-22,2.204999938607216
22922,MIZ/AZL/2022/54,Mizoram,Aizawl,"Tuikual N, Local Council House",,23.73055556,92.71527778,Compacted Debris,Debris slide,1969,991,19,281,50,31.0,tertiary,,,7.53492754998308,city,291822,Aizawl,415.0443979466921,,
22924,MIZ/AZL/2022/56,Mizoram,Aizawl,Bawngkawn Hmar Veng,,23.750049591064453,92.7354965209961,Compacted Debris,Debris slide,August 2022,1036,42,288,10,33.0,residential,,,10.490435365111717,city,291822,Aizawl,3044.592326573692,,
22931,MIZ/AZL/2022/63,Mizoram,Aizawl,Republic vengthlang Field,,23.718730926513672,92.72297668457033,Compacted Debris,Debris slide,1995,973,23,63,50,29.0,residential,,,13.096518426898784,city,291822,Aizawl,1121.512179841288,,
22932,MIZ/AZL/2022/64,Mizoram,Aizawl,Republic Veng cemetary,,23.71824073791504,92.72271728515624,Compacted Debris,Debris slide,August 2022,985,22,106,50,29.0,service,,,18.988398316035905,city,291822,Aizawl,1158.9288494633483,,
22933,MIZ/AZL/2022/65,Mizoram,Aizawl,Republic Veng cemetary,,23.74256944,92.73774444,Compacted Debris,Subsidence,2021 July,911,34,231,10,32.0,residential,,,35.348982178689795,city,291822,Aizawl,2595.907246833823,,
22936,MIZ/AZL/2022/68,Mizoram,Aizawl,Aizawl to Khawruhlian road NH 2,,23.93202778,92.87436111,Compacted Debris,Debris slide,December 2022,486,34,192,10,31.0,unclassified,,,1024.460659418683,village,0,Phaileng,5510.000168558261,,
22942,MIZ/AZL/2022/74,Mizoram,Aizawl,Tuikhurhlu,,23.73200035095215,92.75963889,Compacted Debris,Debris slide,July 2022,836,31,324,10,30.0,trunk,,NH6,8.995847988717015,hamlet,0,Tuirial,4142.006978590788,,
26796,,Sikkim,Gyalshing,Sardong slide,Sardong,27.26352778,88.19047222,Debris,Slide,March 2022,1066,34,342,10,23.0,unclassified,,,6.200284243396401,hamlet,0,,1209.1594397534377,,
25781,3211,Nagaland,Chumoukedima,,,25.7802266,93.93616485595705,Debris,Flow,03 September 2024,913,26,290,10,32.0,track,,,5.904760528927137,village,0,,3292.16048895774,2024-09-03,54.15999951586127
25782,3212,Nagaland,Chumoukedima,,,25.7746019,93.9148756,Debris,Slide,03 September 2024,674,32,158,60,30.0,trunk,,NH29,15.89307854514241,town,0,Medziphema,3555.3020715880652,2024-09-03,54.15999951586127
20488,3215,Meghalaya,East Khasi Hills,,,25.5667327,91.9146185,Debris,Slide,04 October 2024,1537,7,36,60,31.0,service,,,24.722987879281153,village,0,Ishyrwat,2848.6484630737955,2024-10-04,20.10499945282936
20486,3344,Meghalaya,West Jaintia Hills,,,25.47704743,92.16831285,Debris,Slide,25 May 2020,1405,10,287,10,32.0,trunk,,NH206,517.2673239557929,village,0,Kliehtryshi,1982.470736079656,2020-05-25,52.56499927304685
20489,3351,Meghalaya,West Jaintia Hills,,,25.28422636,92.11294194,Debris,Slide,26 June 2020,1036,9,346,30,31.0,tertiary,Muktapur RD,,13.695933657949706,village,0,Amlarem,651.8466701234786,2020-06-26,154.28499715495855
25786,3375,Nagaland,Kohima,,,25.623067,94.114196,Debris,Slide,07 July 2025,1593,28,58,10,30.0,trunk,,NH2,27.25117417344452,village,0,Phesama,768.9093728103371,2025-07-07,28.80999946501106
