system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,slope_deg,.geo
0000000000000000320f,Tuensang,30 June 2012 at 22:30 Hrs.,26.26336111,94.81563889,,NIL,,25972,Hakchang slide,NL-03/2012-13,Nagaland,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003210,Tuensang,25 May 2012 at 05:00 Hrs.,26.18302778,94.81619444,,NIL,,25973,Kuthur Slide,NL-04/2012-13,Nagaland,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003211,Tuensang,15June 2012 at 22:00 Hrs.,26.28908333,94.61005556,,NIL,,25974,Chare slide,NL-05/2012-13,Nagaland,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003212,Kohima,29 July 2012 at 06:00 Hrs.,25.68002778,94.07266667,,NIL,,25975,KMC slide,NL-06/2012-13,Nagaland,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003213,Kohima,31 July 2012 at 23:00 Hrs.,25.67005556,94.11299896240234,,NIL,,25976,D-Block colony slide,NL-07/2012-13,Nagaland,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003214,Kohima,06 August 2012 at 22:00 Hrs.,25.68436111,94.20497222,,NIL,,25977,Chakhabama slide (A),NL-08/2012-13,Nagaland,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003215,Kohima,07 August 2012 at 05:30 Hrs.,25.68133333,94.20877778,,NIL,,25978,Chakhabama slide (B),NL-09/2012-13,Nagaland,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003216,Kohima,08 August 2012 at 06:00 Hrs.,25.67275047302246,94.21136111,,NIL,,25979,Chakhabama Slide (C),NL-10/2012-13,Nagaland,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003217,Phek,07 August 2012 at 05:30 Hrs.,25.66666667,94.19602778,,NIL,,25980,Chakhabama slide (D),NL-11/2012-13,Nagaland,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000362e,Dhalai,3 June 2010,23.899999618530273,91.75622222,,,,26897,Datarampara slide,TR-3/09-10,Tripura,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000362f,Dhalai,June 2010,23.89569444,91.76525115966797,,,,26898,Betaraipara slide,TR-4/09-10,Tripura,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003630,Dhalai,June 2010,23.88888889,91.78888889,,,,26899,Jeulchhara slide,TR-5/09-10,Tripura,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003631,Dhalai,April 2010,23.91200065612793,91.83852778,,,,26900,Kamalchherra,TR-6/09-10,Tripura,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
