system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
00000000000000001237,Tamenglong,1st week of June 2010,24.84563889,93.50202778,,Nil,,19580,Irang slide,MN-8/2010,Manipur,355,"{""type"":""MultiPoint"",""coordinates"":[]}",11436,417716460,trunk,,NH37,145.23398100852395
00000000000000001238,Tamenglong,1st week of June 2010,24.86461111,93.59888889,,Nil,,19581,Lukhambi slide,MN-9/2010,Manipur,414,"{""type"":""MultiPoint"",""coordinates"":[]}",293,44884944,trunk,,NH37,62.239439678021085
00000000000000002860,MAMIT,June 2010,23.92322222,92.49222222,,,,23972,Mamit landsinking,MZ-27/2010-12,Mizoram,852,"{""type"":""MultiPoint"",""coordinates"":[]}",7582,336974672,unclassified,,,45.29554633302936
00000000000000002861,CHHITUIPUI,June 2010,22.49086111,92.98086111,,,,23973,College Veng landsinking,MZ-28/2010-12,Mizoram,1060,"{""type"":""MultiPoint"",""coordinates"":[]}",181437,1118027132,residential,,,7.80376408000079
00000000000000002862,CHHITUIPUI,June 2010,22.48541667,92.98238889,,,,23974,Council Veng landsinking,MZ-29/2010-12,Mizoram,1048,"{""type"":""MultiPoint"",""coordinates"":[]}",181051,1116385448,unclassified,,,37.29232859910715
00000000000000002863,CHAMPHAI,3rd and 6th October 2010,23.88591667,93.20961111,,,,23975,Ngopa landsinking,MZ-30/2011,Mizoram,1200,"{""type"":""MultiPoint"",""coordinates"":[]}",265514,1329059709,residential,,,63.06987288411586
00000000000000002864,Aizawl,22 May 2011,23.70213889,92.71822222,,,,23976,Naizawl rock fall,MZ-31/2011,Mizoram,1076,"{""type"":""MultiPoint"",""coordinates"":[]}",2453,192354539,primary,MG Road,,8.356626243334318
00000000000000002d73,Tuensang,21 June 2009,25.899999618530273,94.78916931152344,,Slide,,24968,Kesunisiki slide,NAG/KIPH/83K13/2009/F-7,Nagaland,1047,"{""type"":""MultiPoint"",""coordinates"":[]}",32763,626021354,trunk,,NH202,356.9689969517754
00000000000000002d5e,Tuensang,21 June 2009,25.886669158935547,94.78639221191406,,Flow,,24950,Mission compound slide,NAG/KIPH/83K13/2009/F-8,Nagaland,1176,"{""type"":""MultiPoint"",""coordinates"":[]}",32763,626021354,trunk,,NH202,80.93789299287833
00000000000000002bd2,Kohima,02.08.2008,25.686670303344727,94.06360626220705,,Slide,,24589,Kohima slide,NAG/KOH/83K02/2008/F-2,Nagaland,1064,"{""type"":""MultiPoint"",""coordinates"":[]}",319,44886115,trunk,,NH29,137.3575662152677
00000000000000002f8c,Tuensang,"21 June,2009",26.270280838012695,94.75,,,,25434,Sangdok slide,NAG/TUE/83J11/2009/F-9,Nagaland,1446,"{""type"":""MultiPoint"",""coordinates"":[]}",32417,624478630,unclassified,,,298.8797490612461
00000000000000002fc8,Tuensang,20 June 2009,26.34416961669922,94.83332824707033,,Slide,,25487,Ajang (Bhumbak Village),NAG/TUE/83J15/2009/F-14,Nagaland,1746,"{""type"":""MultiPoint"",""coordinates"":[]}",33173,628636603,unclassified,,,150.5706204733679
0000000000000000320d,Tuensang,22 June 2012 at 20:30 Hrs.,26.22633333,94.81302778,,,,25970,Police line slide,NL-01/2012-13,Nagaland,1676,"{""type"":""MultiPoint"",""coordinates"":[]}",61027,856460192,unclassified,,,13.060336270032762
0000000000000000320e,Tuensang,03 July 2012 at 14:00 hrs.,26.22480556,94.81236111,,NIL,,25971,Jail colony slide,NL-02/2012-13,Nagaland,1750,"{""type"":""MultiPoint"",""coordinates"":[]}",61218,858466205,unclassified,,,18.78291066582189
0000000000000000320f,Tuensang,30 June 2012 at 22:30 Hrs.,26.26336111,94.81563889,,NIL,,25972,Hakchang slide,NL-03/2012-13,Nagaland,1293,"{""type"":""MultiPoint"",""coordinates"":[]}",33178,628640370,trunk,,NH702B,14.511174974796482
00000000000000003210,Tuensang,25 May 2012 at 05:00 Hrs.,26.18302778,94.81619444,,NIL,,25973,Kuthur Slide,NL-04/2012-13,Nagaland,1941,"{""type"":""MultiPoint"",""coordinates"":[]}",4233,238075438,trunk,,NH202,222.87006647782562
00000000000000003211,Tuensang,15June 2012 at 22:00 Hrs.,26.28908333,94.61005556,,NIL,,25974,Chare slide,NL-05/2012-13,Nagaland,983,"{""type"":""MultiPoint"",""coordinates"":[]}",5178,263220714,trunk,Tuensang Road,NH202,213.86617349836152
00000000000000003212,Kohima,29 July 2012 at 06:00 Hrs.,25.68002778,94.07266667,,NIL,,25975,KMC slide,NL-06/2012-13,Nagaland,1265,"{""type"":""MultiPoint"",""coordinates"":[]}",319,44886115,trunk,,NH29,220.34520006221712
00000000000000003213,Kohima,31 July 2012 at 23:00 Hrs.,25.67005556,94.11299896240234,,NIL,,25976,D-Block colony slide,NL-07/2012-13,Nagaland,1341,"{""type"":""MultiPoint"",""coordinates"":[]}",38923,667862297,unclassified,,,60.99543757290192
00000000000000003214,Kohima,06 August 2012 at 22:00 Hrs.,25.68436111,94.20497222,,NIL,,25977,Chakhabama slide (A),NL-08/2012-13,Nagaland,919,"{""type"":""MultiPoint"",""coordinates"":[]}",10145,385045690,primary,,,11.862876212760254
