sample_id,settlement_distance_m
945,3148.7022375525958
946,10961.614224122786
947,9376.998505795098
948,2973.5931796184136
949,3409.431341987078
950,3105.1519221577614
951,1190.9235983321228
952,5272.026262185472
953,4044.19609085091
954,3985.145941849354
955,17252.739835176915
956,1311.7728898069156
957,6957.98183159999
958,737.6612168525527
959,7804.262245071903
960,17842.912874123347
961,9306.24133473964
962,2955.5597833886054
963,15966.438173203638
964,2897.318328106087
965,8244.46526346857
966,2982.155201122981
967,17617.021718183678
968,1859.9177213651656
969,2238.7719790640144
970,7444.40466917806
971,10781.96868647757
972,1424.3496518461827
973,5830.938948281737
974,4379.935428090572
975,2613.449933632173
976,16730.699430400586
977,7509.063110241402
978,12523.321012534905
979,2448.6431405557855
980,8097.207397705057
981,1909.6352600762505
982,4248.119109415659
983,18234.519875206843
984,4778.083876470743
985,27069.562535198147
986,5448.429882780765
987,4713.555277778988
988,5317.691747921089
989,12066.921210104092
990,7704.390410712826
991,3296.3126408823655
992,7622.956042328023
993,9505.08750825882
994,22624.90770274083
995,6942.616718055269
996,6385.825627950381
997,1322.8713093085616
998,2730.8990887468512
999,4260.171662393844
1000,7202.829751464075
1001,11315.680503738855
1002,35110.08613606801
1003,9556.830999772536
1004,3958.14918110473
1005,16919.91469022184
1006,10193.953099297954
1007,1619.1403812565304
1008,5746.505277843695
1009,6583.081344758255
1010,1389.2607263197503
1011,15454.741699382588
1012,2350.6926342875795
1013,4404.491412970516
1014,5158.480942673466
1015,3506.1272829519794
1016,2611.1678597234154
1017,11717.142763553107
1018,4179.715288248535
1019,4903.4932802664025
1020,10116.673914707297
1021,23193.991861256145
1022,5610.4436018712
1023,19256.96607059788
1024,6851.432432828957
1025,19869.292917383522
1026,4799.631196712773
1027,6408.28423137835
1028,3535.551218771569
1029,6783.807699301287
1030,5533.262385682235
1031,724.3406112787709
1032,7598.999692196753
1033,12455.055986043324
1034,1610.6965658577997
1035,9276.65744606623
1036,605.3088612025873
1037,4148.557294702837
1038,9777.83372815029
1039,4848.435874196724
1040,5469.498915330697
1041,4838.4476315730135
1042,3612.117127645127
1043,20794.481145363356
1044,7764.756283889845
1045,22651.15787318825
1046,1822.501582655922
1047,3050.852613550965
1048,18696.76319929507
1049,5341.797564544585
1050,3052.7791329184674
1051,10770.641108979222
1052,11416.014831692088
1053,5201.839871995185
1054,9158.121612141513
1055,13260.332874541034
1056,3226.305819173176
1057,4214.4608179179995
1058,12374.603036449655
1059,21398.040067928334
1060,26807.367843850738
1061,2757.53003352467
1062,16054.478623942541
1063,7809.206878542127
1064,6446.759697137994
1065,9310.910056238008
1066,4029.5459298951446
1067,629.8673371226959
1068,17982.41354341677
1069,11753.015016383462
1070,1529.6199410564573
1071,4311.708954438649
1072,7549.258956627426
1073,13548.62192929843
1074,1137.627378524387
1075,8038.984758928828
1076,8932.160045268487
1077,8772.678630471772
1078,13465.861567893156
1079,1987.2163751224448
1080,2557.967462594119
1081,2836.9478679825884
1082,11727.381312352927
1083,10780.573205183518
1084,2371.5466632145944
1085,4500.531158659595
1086,7815.622546498918
1087,4501.865472308903
1088,9214.90870120259
1089,7884.207299718951
1090,12530.322749184446
1091,5670.408018015803
1092,25882.359760301162
1093,6342.957102692153
1094,4333.810266261926
1095,2707.654022057944
1096,19609.440298151607
1097,3435.8095939414675
1098,17488.802530226552
