system:index,aspect_deg,clay_surface_pct,elevation_m,label,lulc_class,sample_id,sample_type,slope_deg,state,.geo
00000000000000000042_0,326,29,391,0,10,67,background,11,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.32653832457436,27.735842902574305]}"
00000000000000000043_0,43,25,848,0,10,68,background,8,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.68774175175508,27.863583335976102]}"
00000000000000000044_0,68,18,1620,0,10,69,background,56,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.97709825333368,27.93769434691596]}"
00000000000000000045_0,143,29,184,0,10,70,background,7,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.51732676807575,26.971556258845418]}"
00000000000000000046_0,212,25,1924,0,10,71,background,23,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.90314860832325,27.414066367802697]}"
00000000000000000047_0,315,17,2387,0,10,72,background,10,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.80622496344859,28.49797358962131]}"
00000000000000000048_0,239,21,2729,0,10,73,background,7,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.36694878951414,27.486290916645906]}"
00000000000000000049_0,325,18,2428,0,10,74,background,36,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.69051738057215,27.537494887840715]}"
0000000000000000004a_0,257,14,3134,0,10,75,background,38,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.61884554374495,29.17629146065996]}"
0000000000000000004b_0,276,27,1425,0,10,76,background,26,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.28386377429683,28.331156441360314]}"
0000000000000000004c_0,192,31,836,0,10,77,background,15,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.47195727194588,27.006051565755605]}"
0000000000000000004d_0,199,28,1149,0,10,78,background,10,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.61058561741294,27.409484959853685]}"
0000000000000000004e_0,334,16,3329,0,10,79,background,41,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.07966756165274,28.201529545861867]}"
0000000000000000004f_0,289,17,4318,0,100,80,background,33,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.14984428246987,28.01854272248672]}"
00000000000000000050_0,192,25,1607,0,10,81,background,20,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.80604987467365,28.550255539157064]}"
00000000000000000051_0,156,18,3367,0,10,82,background,20,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.37692008916787,28.294235683183]}"
00000000000000000052_0,250,17,4222,0,100,83,background,23,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.9301924726571,28.57451005182829]}"
00000000000000000053_0,277,19,2991,0,10,84,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.06440077610455,28.674492542950794]}"
00000000000000000054_0,126,19,2233,0,10,85,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.6774872346706,27.607563480002042]}"
00000000000000000055_0,191,18,3541,0,10,86,background,35,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.1386061928547,28.744830629697354]}"
00000000000000000056_0,17,30,710,0,10,87,background,33,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.16384427805656,27.968955718803322]}"
00000000000000000057_0,159,22,3502,0,10,88,background,12,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.0042090777867,28.08429940128427]}"
00000000000000000058_0,191,25,2284,0,10,89,background,48,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20057622461337,27.070730266212216]}"
00000000000000000059_0,177,22,1155,0,10,90,background,46,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.723045542421,28.933207344777216]}"
0000000000000000005a_0,122,23,692,0,80,91,background,9,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.66564319576577,28.686619799286408]}"
0000000000000000005b_0,166,26,1612,0,10,92,background,9,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.35429626685362,28.061122866953987]}"
0000000000000000005c_0,181,22,2374,0,10,93,background,38,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.48203670025543,28.270520159682246]}"
0000000000000000005d_0,6,25,1229,0,10,94,background,9,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.5871395884974,27.539650844522605]}"
0000000000000000005e_0,246,30,1021,0,10,95,background,39,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.20580475038867,28.04279723515795]}"
0000000000000000005f_0,190,22,3057,0,10,96,background,35,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.15718759639037,27.189577378301223]}"
00000000000000000060_0,299,14,2553,0,10,97,background,15,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.06899590689909,28.06408730739158]}"
00000000000000000061_0,150,18,1531,0,10,98,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.63742694728069,27.706737487368834]}"
00000000000000000062_0,339,31,321,0,10,99,background,3,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.21406467672074,27.924219617654174]}"
00000000000000000063_0,295,20,4289,0,100,100,background,15,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.22260782048357,28.100199581813186]}"
00000000000000000064_0,140,31,845,0,10,101,background,42,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.04705871683922,27.041355356421505]}"
00000000000000000065_0,251,28,1260,0,10,102,background,24,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.40585041559837,28.00291203654304]}"
00000000000000000066_0,228,24,1095,0,10,103,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.671221899091,27.560132433000526]}"
00000000000000000067_0,300,16,2735,0,10,104,background,32,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.51014482008463,29.05798333774142]}"
00000000000000000068_0,260,31,375,0,10,105,background,5,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.85249734914447,28.115830267756866]}"
00000000000000000069_0,190,21,2565,0,10,106,background,35,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.20903868541149,28.18131745196918]}"
0000000000000000006a_0,117,25,1041,0,10,107,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.64048579352857,28.08834182006281]}"
0000000000000000006b_0,215,15,3773,0,30,108,background,37,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.16160763840998,28.829182434876177]}"
0000000000000000006c_0,160,17,4235,0,100,109,background,29,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.38043724162151,28.28183893226215]}"
0000000000000000006d_0,228,17,3208,0,10,110,background,33,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.68766106879036,27.74284976179044]}"
0000000000000000006e_0,28,25,1256,0,10,111,background,43,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.66562947292022,27.523211674823216]}"
0000000000000000006f_0,5,15,3484,0,10,112,background,13,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.26490474752,28.99222665894387]}"
00000000000000000070_0,270,28,162,0,10,113,background,2,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.51643760135534,28.047378643106956]}"
00000000000000000071_0,238,16,2906,0,10,114,background,9,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.64920402606634,29.015403193274153]}"
00000000000000000072_0,180,26,393,0,30,115,background,6,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.38825258459332,27.533721963647416]}"
00000000000000000073_0,186,14,3565,0,30,116,background,41,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.68379373878679,29.089514204214012]}"
00000000000000000074_0,120,30,818,0,10,117,background,28,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.68352424420158,27.018987305846927]}"
00000000000000000075_0,358,17,3582,0,10,118,background,23,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.9928903052068,28.17970048445776]}"
00000000000000000076_0,46,28,449,0,10,119,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.36362044868105,26.968861312993063]}"
00000000000000000077_0,198,14,4279,0,60,120,background,7,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.40226630302561,28.734320340873154]}"
