sample_id,road_distance_m
417,17445.08995302091
418,4629.232809979176
419,2917.39289852603
420,6728.508966050121
421,9687.342307853163
422,1145.651207552532
423,317.83493586693317
424,15529.138910531401
425,13679.433475849519
426,6663.1181076924295
427,4149.933352920722
428,6484.503140354695
429,11324.25198565555
430,18628.061510782245
431,20663.29459287449
432,5112.597403698894
433,2875.283605174487
434,180.2663279793409
435,15187.888239125034
436,4360.007370217712
437,5012.86985163349
438,1497.926406209879
439,874.146938882414
440,11060.895121617996
441,30455.661229249752
442,11615.509965414225
443,4836.269202554791
444,7544.21441498107
445,4954.079752468489
446,842.4917859154136
447,23702.812561048566
448,12394.411683881406
449,4031.19402287867
450,4435.795425696639
451,7820.685728879843
452,3937.890494087895
453,1038.5233915839308
454,9436.425642945436
455,7327.0359230476315
456,2760.033218350834
457,2393.72029725409
458,8436.570518809094
459,9439.950593089055
460,3852.830090706999
461,2055.381077704243
462,18530.478361464066
463,9738.071809155828
464,508.73533881591754
465,16798.86976788602
466,13711.352012151783
467,10381.4073320438
468,3778.4412086253005
469,2432.032624049237
470,188.11872516943257
471,5808.838243527601
472,777.4414560977852
473,6799.4646932024
474,10708.491740593881
475,15237.917396891575
476,17366.751443732333
477,371.33215774274396
478,267.4553678396888
479,242.65392064685003
480,6159.187942216363
481,10226.908673766417
482,9834.216004623715
483,2092.7385949132245
484,20371.62011780015
485,5548.95365458896
486,19294.143929571528
487,1950.6754768072633
488,8306.78820361871
489,7797.299530055424
490,13824.847324745066
491,6333.205280867525
492,45.619823953148774
493,2415.3635682667227
494,15766.053312221686
495,6492.065932898806
496,1916.912005744463
497,6209.927194056281
498,9258.632307931808
499,11626.277484800426
500,3422.450814839683
501,1296.7076443920007
502,3217.253137077476
503,818.3831536672589
504,3866.811185574528
505,12904.970303993312
506,9054.975875205746
507,1822.7483687244685
508,11742.421439471827
509,9519.28235628656
510,13761.212451193587
511,3475.280304049025
512,138.36887486551623
513,7877.299660723586
514,2695.4850077106403
515,3.4229825241466547
516,1938.9839465872876
517,9824.29990898516
518,9401.449880179536
519,10878.031628331442
520,921.0811407545923
521,9724.804512540524
522,8626.550529305696
523,7252.992439120499
524,8996.764409339099
525,4631.495736664089
526,56.00833620683348
527,2349.3219605327627
528,10611.739588723634
529,4093.4756260760128
530,688.5670362007455
531,861.0057315446049
532,13147.597669892719
533,4451.7466936567835
534,15395.896907277593
535,4583.064857566796
536,9748.262232394754
537,1138.165633930065
538,267.94716818865294
539,5076.748667501566
540,8148.393402718767
541,6098.562005732008
542,3512.196772750741
543,5162.812690581635
544,17714.11502459007
545,15078.541763440404
546,2132.818825961964
547,6906.420752155348
548,2717.29831834711
549,13306.615526825422
550,16174.668500631968
551,2233.0025605823034
552,4006.556839861284
553,3575.2419524316447
554,4253.77174998206
555,1714.419148649723
556,75.83917755361868
557,1459.2123208476705
558,5954.240494906289
559,3754.9986075010497
560,1817.5240276026432
561,13390.478416832579
562,3228.6450870905514
563,5516.010657666986
564,2457.317971079117
565,6050.318892990733
566,6522.8454654693805
567,7576.013432741086
568,5329.545348976367
569,971.3983111366158
570,5333.536399907937
571,6529.046981663474
572,6460.766728764533
573,5445.859744767479
574,9923.269234415833
575,13851.734573783528
576,12305.588413251955
577,15723.77888733518
578,13961.1763377863
579,11313.52086047511
580,3864.5007320174673
581,1988.4871527631253
582,34.60878588997334
583,2296.089840908439
584,12536.445508000015
585,5770.367208668826
586,9564.53731069443
587,7212.16692870602
588,4162.448167299684
589,4520.795588642101
590,7627.770993241717
591,7541.8208433190175
592,460.4217864973355
593,12439.917031506124
594,7618.699383776973
595,2897.287378995795
596,4642.478959818468
597,67.63140796632875
598,6310.579345222087
599,9798.200531768083
600,18779.63521546411
601,4185.510814418032
602,10057.366183012458
603,3806.1306231698563
604,2053.9441555147164
605,5935.335755286421
606,2562.34423361201
607,13934.887539061365
608,14456.681842587697
609,157.84720554684773
610,16988.540925391066
611,3416.549305009084
612,7622.490203027927
613,3093.4565585071223
614,2819.903787716806
615,7169.534853683033
616,5766.725201332796
617,3698.03798501706
618,15914.519598771365
619,1832.2061201760025
620,18802.15498891874
621,6488.494734263375
622,5259.971285719547
623,210.5061245698997
624,12422.20224170485
625,16422.87433050573
626,50.317056219674434
627,2565.9272272992207
628,35.84010088710734
629,19113.495267040907
630,42.97748711745824
631,7782.943939158229
632,13080.814356996108
633,4170.825248471175
634,10301.25601375253
635,2292.1938253509843
636,4213.924383621426
637,2635.5567213526074
638,2710.147820094841
639,499.5234027191914
640,1161.1517276845098
641,664.1927959950814
642,7451.882742516255
643,642.1492991716501
644,3510.129607050372
645,760.1625157435424
646,5137.017401347953
647,9100.128969779225
648,4063.159822207203
649,4856.323562801753
650,15379.34630309083
651,879.1217960007401
652,1166.665709790965
653,5209.062655942233
654,293.20634360225637
655,10379.811664373898
656,3837.5451854319044
657,10586.968624217607
658,4800.140769847742
659,17362.90275544355
660,4661.071610269265
661,368.69007037160014
662,15541.83172076803
663,8536.39520829839
664,1802.5477054613948
665,10466.256849500789
666,25534.49784001423
667,292.5186299356541
668,4231.579067573799
669,5201.370907164217
670,3411.871320617464
671,2805.4082494270847
672,4874.382831141792
673,3479.454815222022
674,12499.884518750652
675,10378.050413976964
676,4344.725096061021
677,840.8612347078242
678,12326.085296807723
679,5370.451431198157
680,1735.9539229419581
681,1133.441253134017
682,18311.63847123364
683,10115.640055840158
684,10251.189553510116
685,1147.915469135876
686,10034.484912942034
687,7284.0293281153245
688,8089.478886047947
689,6494.348018364809
690,2543.079039691
691,17024.530436539146
692,626.6546810582928
693,13924.230674168104
694,2642.676025999554
695,1038.8562487885763
696,4648.628664533709
697,13375.917311096475
698,2138.7370059334307
699,4347.529833071277
700,5859.686897696919
701,2637.279104539705
702,17226.167957771704
703,12903.301373421975
704,8457.215470468482
705,9.316515050013704
706,10660.980571125403
707,1295.5529934587726
708,2519.3737521485086
709,15091.363600278704
710,1607.1814015022317
711,7349.619704336836
712,4909.865738383972
713,1487.10499352987
714,7490.558290795906
715,5771.0312238620945
716,6993.240633959111
717,6779.868501634863
718,1646.4548116495157
719,5868.419486168763
720,5849.298293018021
721,7488.406092815696
722,1380.045515673226
723,11965.58152828733
724,2586.814593809713
725,31823.319215582833
726,4387.987982710219
727,5601.742655628853
728,9260.488045900136
729,8744.24491285214
730,6112.1487829452935
731,5403.805900256062
732,6544.40398451163
733,25737.500969934423
734,8898.891050970456
735,2808.8958140041077
736,2781.140161406232
737,13080.555490280725
738,4508.551716192966
739,18079.53964549363
740,10387.403580608403
741,7974.961608635065
742,14582.724900843283
743,6490.211684306094
744,8344.569821559622
745,6755.884608119101
746,1237.4635698797035
747,5231.095670842019
748,4642.052506742906
749,7481.943127770288
750,6353.547480861049
751,6699.759322112678
752,4798.072740559345
753,2710.7010718676247
754,2747.8515159345325
755,2810.9872178056216
756,9283.415176698873
757,14440.80904330019
758,5147.003759143844
759,871.3051609263255
760,10701.128867598809
761,4291.416948468658
762,5457.403022999582
763,239.91717627208487
764,11131.576734529295
765,8516.260247514674
766,269.6288193990056
767,3335.388902640949
768,3666.862876872479
769,8473.997430003872
770,13069.540537960906
771,11969.134848194293
772,18746.670169261684
773,18857.783692255256
774,4395.820671028729
775,3023.596784119462
776,2355.7107299363147
777,5613.971199377653
778,14125.086120195947
779,7865.7083104724625
780,6401.0629600810535
781,11140.67231982352
782,74.37534728352068
783,8114.06504725909
784,1062.4589048028279
785,1225.989058708588
786,2936.8449764319316
787,2057.1399011842227
788,84.7672354897381
789,1163.745294415817
790,1335.468720966052
791,9027.976158771595
792,687.7945372879622
793,2508.8887993260964
794,9842.111268852605
795,1858.3102950751204
796,5801.040758225408
797,1858.4393647089491
798,3883.780842764118
799,18578.007988160687
800,9427.539723650247
801,7320.499091753489
802,4430.499199240368
803,4970.468718422427
804,6127.781694250656
805,3215.8902059171032
806,6997.93346143198
807,336.0578158974054
808,7587.045676942017
809,9104.33613169399
810,374.36260815938454
811,2202.3691285554146
812,11706.155515656701
813,205.43970455850356
814,961.8109576434772
815,738.3320174251537
816,2215.1441953815893
817,4800.08952564643
818,415.8493778645594
819,9559.504403844998
820,3281.8254754059553
821,2973.511334999386
822,16193.4876467194
823,1260.4667600516946
824,16081.720030099028
825,10450.690325020023
826,206.7689449450691
827,3175.613346806306
828,6570.82803171427
829,4960.296703951618
830,1672.3990528283102
831,10248.41546411779
832,1310.0491936965977
833,1907.1108583823213
834,5350.3619573455335
835,2715.4127735116467
836,10062.444407430889
837,8758.289338050376
838,5908.815410426253
839,6091.886618210566
840,18015.109491657575
841,732.8541343236639
842,8452.621881963327
843,853.103308452484
844,6818.039589013484
845,1847.8435364010631
846,7527.561922814057
847,6973.401425537472
848,13455.148436337664
849,4776.293937967934
850,19185.672636196483
851,11439.518044453402
852,1338.7215962311627
853,2486.4505041621246
854,1344.3422988480738
855,8068.273564542553
856,2965.3192232453703
857,3262.3631640121557
858,774.5425257589144
859,9873.809417997616
860,1635.0007341110515
861,1802.2184352959482
862,9854.572181186331
863,4971.304078761071
864,17815.62323480031
865,9066.861461703691
866,4096.030082968435
867,15839.260170277506
868,8592.241064252918
869,14048.297925856461
870,1593.395068015306
871,1891.8885192014109
872,7259.418196053147
873,8245.337456192132
874,9507.331359254606
875,6971.496211587041
876,3377.296507417372
877,15723.624583706032
878,899.9299306588874
879,17066.023776147165
880,9202.597081553518
881,8657.485549356223
882,17383.963408498767
883,450.83712492443476
884,1625.4550408176087
885,7632.430394768021
886,6393.73656861017
887,1744.6484553718024
888,549.4279314224202
889,17193.017245343857
890,12.262831015484245
