system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
00000000000000000074,Dima Hasao,25.366254806518555,92.823037,808,Assam,2022-05-14,346.52399219945073,111.54499804601073,234.70499466359615,273.98499355092645,"{""type"":""Point"",""coordinates"":[92.823037,25.36625480651856]}"
00000000000000000076,Dima Hasao,25.117665,92.847709,805,Assam,2022-05-14,373.46899074409157,124.06999673787504,257.80999351199716,289.9999931221828,"{""type"":""Point"",""coordinates"":[92.847709,25.117665000000002]}"
00000000000000000078,Dima Hasao,25.165790557861328,93.00948333740234,632,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.00948333740234,25.16579055786133]}"
00000000000000000079,Dima Hasao,25.15859031677246,93.0129165649414,633,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.01291656494142,25.15859031677246]}"
0000000000000000007a,Dima Hasao,25.16023063659668,93.0108413696289,624,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.0108413696289,25.160230636596676]}"
0000000000000000007b,Dima Hasao,25.17622947692871,93.01325988769533,787,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.01325988769533,25.17622947692871]}"
0000000000000000007d,Dima Hasao,25.17136001586914,93.01101684570312,779,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.01101684570312,25.171360015869137]}"
0000000000000000007e,Dima Hasao,25.168039321899418,93.02503204345705,647,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.02503204345705,25.168039321899418]}"
0000000000000000007f,Dima Hasao,25.15555953979492,93.021583,640,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.021583,25.15555953979492]}"
00000000000000000084,Dima Hasao,25.162667,93.009806,666,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.009806,25.162667]}"
000000000000000001f8,Dima Hasao,25.16808319091797,93.024922,649,Assam,2022-05-14,384.8469907557592,141.66499808430672,268.9299939740449,299.09499315544963,"{""type"":""Point"",""coordinates"":[93.024922,25.16808319091797]}"
00000000000000000075,Dima Hasao,25.164270401000977,92.99787902832033,664,Assam,2022-05-15,412.9314901093021,161.11499699950218,259.7349941022694,368.12999120447785,"{""type"":""Point"",""coordinates"":[92.99787902832034,25.16427040100098]}"
00000000000000000077,Dima Hasao,25.167360305786133,93.00952911376952,623,Assam,2022-05-15,446.5769892213866,140.73999714292586,272.59499430283904,372.9499911572784,"{""type"":""Point"",""coordinates"":[93.00952911376952,25.167360305786133]}"
0000000000000000007c,Dima Hasao,25.189189910888672,93.02117919921876,785,Assam,2022-05-15,446.5769892213866,140.73999714292586,272.59499430283904,372.9499911572784,"{""type"":""Point"",""coordinates"":[93.02117919921876,25.189189910888675]}"
00000000000000000081,Dima Hasao,25.174829483032227,93.019861,655,Assam,2022-05-15,446.5769892213866,140.73999714292586,272.59499430283904,372.9499911572784,"{""type"":""Point"",""coordinates"":[93.019861,25.174829483032223]}"
00000000000000000083,Dima Hasao,25.165529251098633,93.02172088623048,667,Assam,2022-05-15,446.5769892213866,140.73999714292586,272.59499430283904,372.9499911572784,"{""type"":""Point"",""coordinates"":[93.02172088623048,25.165529251098633]}"
000000000000000001f7,Dima Hasao,25.158138275146484,93.024778,642,Assam,2022-05-15,446.5769892213866,140.73999714292586,272.59499430283904,372.9499911572784,"{""type"":""Point"",""coordinates"":[93.024778,25.158138275146484]}"
000000000000000001fb,Kamrup (Metro),26.187889099121097,91.79492950439452,778,Assam,2022-06-17,796.1999814230949,205.1299953199923,485.3049881486222,679.0849848194048,"{""type"":""Point"",""coordinates"":[91.79492950439452,26.1878890991211]}"
0000000000000000040f,Kamrup,26.170270919799805,91.697998046875,804,Assam,2025-05-31,340.8499937634915,105.23999822326005,188.37999722082168,225.72999652754515,"{""type"":""Point"",""coordinates"":[91.69799804687501,26.170270919799805]}"
0000000000000000045a,Kamrup,26.19113889,91.82961111,799,Assam,2025-05-31,354.90999210625887,123.8149962676689,200.61999507434666,228.2849943106994,"{""type"":""Point"",""coordinates"":[91.82961111,26.19113889]}"
00000000000000000468,Kamrup (Metro),26.184324264526367,91.855395,846,Assam,2025-05-31,354.90999210625887,123.8149962676689,200.61999507434666,228.2849943106994,"{""type"":""Point"",""coordinates"":[91.855395,26.184324264526364]}"
