SlNo,State,District,event_date,susceptibility_probability,rainfall_probability
20499,Meghalaya,East Khasi Hills,2025-05-30,1.0,0.8553221272194583
20501,Meghalaya,East Khasi Hills,2025-05-30,0.9966666666666667,0.8553221272194583
20502,Meghalaya,East Khasi Hills,2025-05-30,0.92,0.8553221272194583
20503,Meghalaya,East Khasi Hills,2025-05-30,0.88,0.8553221272194583
20500,Meghalaya,East Khasi Hills,2025-05-30,1.0,0.8553221272194583
20609,Meghalaya,Eastern-West Khasi Hill,2025-05-30,0.8966666666666666,0.8074293449219129
20610,Meghalaya,Eastern-West Khasi Hill,2025-05-30,0.9366666666666666,0.8074293449219129
20611,Meghalaya,Eastern-West Khasi Hill,2025-05-30,0.9766666666666667,0.8074293449219129
20634,Meghalaya,Eastern-West Khasi Hill,2025-05-30,0.9966666666666667,0.8074293449219129
20639,Meghalaya,Eastern-West Khasi Hill,2025-05-30,1.0,0.8074293449219129
20640,Meghalaya,Eastern-West Khasi Hill,2025-05-30,0.9966666666666667,0.8074293449219129
20615,Meghalaya,Ri-Bhoi,2025-05-30,0.9966666666666667,0.8271395948606112
20626,Meghalaya,Ri-Bhoi,2025-05-30,0.9733333333333334,0.7952423514580106
20627,Meghalaya,Ri-Bhoi,2025-05-30,0.9633333333333334,0.7952423514580106
20614,Meghalaya,Ri-Bhoi,2025-05-30,0.95,0.8271395948606112
20620,Meghalaya,Ri-Bhoi,2025-05-30,1.0,0.8633194422896965
20622,Meghalaya,South West Khasi Hills,2025-05-30,0.9466666666666667,0.7885557103800394
20608,Meghalaya,South West Khasi Hills,2025-05-30,1.0,0.8074293449219129
20623,Meghalaya,South West Khasi Hills,2025-05-30,0.88,0.7885557103800394
20617,Meghalaya,East Khasi Hills,2025-05-31,0.98,0.9062052376649432
20653,Meghalaya,Eastern-West Khasi Hill,2025-05-31,0.9833333333333333,0.8151995844798869
20654,Meghalaya,Eastern-West Khasi Hill,2025-05-31,1.0,0.8151995844798869
23976,Mizoram,Aizawl,2011-05-22,0.9966666666666667,0.2876872320844752
22921,Mizoram,Aizawl,2018-06-22,1.0,0.3089349645501084
23950,Mizoram,Aizawl,2025-06-15,0.87,0.7656566385813808
